Bow Wow featuring J-Kwon and Jermaine Dupri,Fresh AZIMIZ,228
Bow Wow featuring T-Pain & Johntá Austin,Outta My System,232
Bowling for Soup,Girl All the Bad Guys Want,196
Bowling for Soup,1985,192
Boys Like Girls,Hero/Heroine,223
Boys Like Girls,Thunder,237
Boys Like Girls,Heart Heart Heartbreak,203
Boys Like Girls,Love Drunk,221
Boys Like Girls,The Great Escape,206
Breathe Carolina,Blackout,208
Brian McKnight,Anytime,271
Britney Spears,Toxic,198
Britney Spears,...Baby One More Time,212
Britney Spears,Break the Ice,193
Britney Spears,I'm a Slave 4 U,203
Britney Spears,Work Work,246
Britney Spears,(You Drive Me) Crazy,198
Britney Spears,Piece of Me,210
Britney Spears,If U Seek Amy,213
Britney Spears,Overprotected (The Darkchild Remix),186
Britney Spears,Don't Let Me Be the Last to Know,230
Britney Spears,Hold It Against Me,226
Britney Spears,Stronger,202
Britney Spears,I Wanna Go,208
Britney Spears,Till the World Ends,234
Britney Spears,Everytime,221
Britney Spears,Sometimes,237
Britney Spears,Lucky,204
Britney Spears,Womanizer,222
Britney Spears featuring G-Eazy,Make Me...,229
Britt Nicole,Gold,178
Brooke Valentine featuring Big Boi and Lil Jon,Girlfight,214
Bruno Mars,Locked Out of Heaven,230
Bruno Mars,When I Was Your Man,211
Bruno Mars,Gorilla,238
Bruno Mars,Treasure,174
Bruno Mars,It Will Rain,253
Bruno Mars,Grenade,218
Bruno Mars,The Lazy Song,187
Bruno Mars,24K Magic,224
Bruno Mars,Just the Way You Are,215
Bruno Mars,Young Girls,228
Bryson Tiller,Don't,198
Bubba Sparxxx,Ms. New Booty,200
Cady Groves,Love Actually,228
Cake,Never There,164
Calvin Harris,Feel So Close,202
Calvin Harris featuring Ellie Goulding,I Need Your Love,230
Calvin Harris featuring Ellie Goulding,Outside,225
Calvin Harris featuring Florence Welch,Sweet Nothing,208
Calvin Harris featuring John Newman,Blame,205
Calvin Harris featuring Ne-Yo,Let's Go,224
Calvin Harris featuring Rihanna,This Is What You Came For,218
Capital Cities,Safe and Sound,190
Capital Cities,Safe and Sound,192
Carly Rae Jepsen,Call Me Maybe,192
Carrie Underwood,Before He Cheats,197
Carrie Underwood,Undo It,176
Cascada,Everytime We Touch,197
Case,Happily Ever After,278
Cee Lo Green,Forget You,220
Celine Dion,A New Day Has Come,258
Chad Kroeger featuring Josey Scott,Hero,190
Chamillionaire featuring Krayzie Bone,Ridin',243
Chanté Moore,Chanté's Got a Man,266
Charice,Note to God,239
Charli XCX,Boom Clap,167
Charlie Puth,One Call Away,190
Charlie Puth featuring Meghan Trainor,Marvin Gaye,187
Charlie Puth featuring Selena Gomez,We Don't Talk Anymore,214
Cher Lloyd,Want U Back,212
Cherish featuring Sean Paul of YoungBloodZ,Do It to It,220
Cherish featuring Young Joc,Killa,228
Cherry Poppin' Daddies,Zoot Suit Riot,233
Chevelle,Send the Pain Below,250
Chevelle,The Red,235
Chevelle,Vitamin R (Leading Us Along),222
Chiddy Bang featuring Icona Pop,Mind Your Manners,194
Chingy,Right Thurr,216
Chingy,Balla Baby,213
Chingy featuring J. Weav,One Call Away,255
Chingy featuring Ludacris and Snoop Dogg,Holidae In,269
Chingy featuring Tyrese,Pullin' Me Back,232
Chris Brown,Run It!,192
Chris Brown,Say Goodbye,285
Chris Brown,With You,251
Chris Brown,Turn Up the Music,224
Chris Brown,Don't Wake Me Up,220
Chris Brown,Forever,276
Chris Brown,Wall to Wall,220
Chris Brown,Yeah 3x,238
Chris Brown,Yo (Excuse Me Miss),228
Chris Brown featuring Lil Wayne & Busta Rhymes,Look at Me Now,222
Chris Brown featuring T-Pain,Kiss Kiss,250
Chris Brown featuring Tyga and Kevin McCall,Deuces,274
Chris Lane,Fix,189
Christina Aguilera,Ain't No Other Man,226
Christina Aguilera,Keeps Gettin' Better,180
Christina Milian,AM to PM,213
Christina Milian,Dip It Low,194
Ciara,Promise,267
Ciara featuring Justin Timberlake,Love Sex Magic,219
Ciara featuring Ludacris,Oh,255
Ciara featuring Petey Pablo,Goodies,223
Citizen Four,Testify,228
City High,What Would You Do?,170
City High featuring Eve,Caramel (Trackmasters Remix),214
Clairity,Scarecrow,220
Classified,That's What I Do,227
Clean Bandit featuring Jess Glynne,Rather Be,225
Cobra Starship featuring Leighton Meester,Good Girls Go Bad,195
Cobra Starship featuring Sabi,You Make Me Feel...,211
Cody Simpson,All Day,186
Coin,Talk Too Much,185
Colbie Caillat,Realize,242
Coldplay,Clocks,250
Coldplay,Hymn for the Weekend,256
Coldplay,In My Place,226
Coldplay,Fix You,293
Coldplay,Yellow,268
Coldplay,A Sky Full of Stars,268
Coldplay,Paradise,276
Coldplay,Speed of Sound,261
Coldplay,Adventure of a Lifetime,263
Connell Cruise,Into the Wild,192
Conrad Sewell,Hold Me Up,204
Conway,Big Talk,219
Corinne Bailey Rae,Put Your Records On,213
Counting Crows featuring Vanessa Carlton,Big Yellow Taxi,223
Creed,One Last Breath,237
Creed,With Arms Wide Open,232
Crossfade,Cold,193
D.H.T. featuring Edmée,Listen to Your Heart,268
D.R.A.M. featuring Lil Yachty,Broccoli,223
D12,My Band,282
Daft Punk featuring Pharrell Williams,Get Lucky,247
Dagny featuring Børns,Fool's Gold,238
Daniel Bedingfield,If You're Not the One,242
Daniel Powter,Bad Day,229
Daniel Skye,Smile,156
Danny Mercer,Who Are You Loving Now?,211
Darius Rucker,Don't Think I Don't Think About It,181
Daughtry,Life After You,204
Daughtry,It's Not Over,206
Daughtry,Feels Like Tonight,237
Daughtry,What About Now,249
Daughtry,Over You,204
Daughtry,September,237
Daughtry,No Surprise,248
Daughtry,Home,252
Dave Barnes,Little Lies,165
David Archuleta,Crush,207
David Cook,Light On,227
David Guetta & Chris Willis featuring Fergie & LMFAO,Gettin' Over You,184
David Guetta featuring Akon,Sexy Chick,192
David Guetta featuring Chris Brown and Lil Wayne,I Can Only Imagine,208
David Guetta featuring Kid Cudi,Memories,208
David Guetta featuring Nicki Minaj,Turn Me On,199
"David Guetta featuring Nicki Minaj, Bebe Rexha and Afrojack",Hey Mama,191
David Guetta featuring Sia,Titanium,210
David Guetta featuring Usher,Without You,206
Daya,"Sit Still, Look Pretty",198
Daya,Hide Away,189
Days Difference,Speakers,255
"Dem Franchize Boyz featuring Jermaine Dupri, Da Brat and Bow Wow",I Think They Like Me (Remix),282
Dem Franchize Boyz featuring Peanut and Charlay,"Lean wit It, Rock wit It",228
Demi Lovato,Heart Attack,208
Demi Lovato,Give Your Heart a Break,204
Demi Lovato,Skyscraper,231
Demi Lovato,Cool for the Summer,213
Demi Lovato,Confident,203
Demi Lovato featuring Cher Lloyd,Really Don't Care,199
Desiigner,Panda,224
Destiny's Child,Bootylicious,207
Destiny's Child,Emotion,234
Destiny's Child,Survivor,240
Destiny's Child,Cater 2 U,243
Destiny's Child,Independent Women Part I,219
Destiny's Child,Girl,219
Destiny's Child,"Jumpin', Jumpin'",227
